# Catalog from Duputel et al. (GRL, 2019, doi: 10.1029/2018GL080895)
# Origin time             Lat(deg)     Lon(deg)    Dep(km)
2014-06-15 01:30:03.743  -21.244653    55.714974   -0.356
2014-06-15 01:31:27.779  -21.245005    55.712891   -0.178
2014-06-15 01:35:56.048  -21.245144    55.714148   -0.199
2014-06-15 01:44:49.135  -21.240977    55.713375   -0.257
2014-06-15 01:45:45.506  -21.245028    55.714775   -0.419
2014-06-15 01:52:38.153  -21.241947    55.716768   -0.467
2014-06-15 02:06:49.036  -21.240383    55.712939   -0.541
2014-06-15 02:20:52.949  -21.241740    55.713066   -0.429
2014-06-15 02:24:10.223  -21.245520    55.717989   -0.028
2014-06-15 02:28:08.328  -21.244790    55.714905   -0.353
2014-06-15 02:59:58.419  -21.244800    55.711609   -0.131
2014-06-15 03:08:18.695  -21.244702    55.709867   -0.259
2014-06-15 03:09:54.259  -21.245056    55.711739   -0.119
2014-06-15 03:28:00.443  -21.244861    55.713611   -0.202
2014-06-15 03:33:16.931  -21.245097    55.715922   -0.429
2014-06-15 03:33:23.178  -21.243764    55.712000   -0.426
2014-06-15 03:47:24.728  -21.244979    55.714600   -0.252
2014-06-15 03:49:22.321  -21.245058    55.714750   -0.350
2014-06-15 03:54:23.753  -21.242784    55.711853   -0.403
2014-06-15 03:59:23.780  -21.245294    55.716016   -0.367
2014-06-15 03:59:24.848  -21.245150    55.715877   -0.391
2014-06-15 03:59:39.903  -21.245162    55.716060   -0.412
2014-06-15 04:01:28.601  -21.245176    55.716077   -0.451
2014-06-15 04:07:28.270  -21.245156    55.716056   -0.370
2014-06-15 04:18:16.405  -21.245042    55.715926   -0.489
2014-06-15 04:41:44.349  -21.245353    55.711780   -0.100
2014-06-15 04:47:28.009  -21.245142    55.711418   -0.133
2014-06-15 05:06:34.380  -21.245540    55.713269   -0.034
2014-06-15 05:29:27.150  -21.242800    55.711446   -0.363
2014-06-15 05:34:19.615  -21.240377    55.712504   -0.302
2014-06-15 05:43:36.782  -21.245152    55.713118   -0.262
2014-06-15 05:45:15.866  -21.245384    55.711491    0.033
2014-06-15 05:54:13.635  -21.244926    55.716817   -0.310
2014-06-15 06:04:48.123  -21.245154    55.716056   -0.378
2014-06-15 06:06:16.480  -21.244920    55.716703   -0.337
2014-06-15 06:35:07.920  -21.245376    55.712899   -0.181
2014-06-15 07:07:00.368  -21.244995    55.715011   -0.377
2014-06-15 07:23:59.715  -21.241691    55.711389   -0.182
2014-06-15 07:40:24.998  -21.245223    55.716081   -0.219
2014-06-15 08:17:20.733  -21.242521    55.710555   -0.397
2014-06-15 08:18:16.732  -21.243711    55.716984   -0.355
2014-06-15 08:38:51.382  -21.244484    55.716947   -0.357
2014-06-15 08:42:52.270  -21.245673    55.714250   -0.211
2014-06-15 08:52:18.452  -21.239958    55.713965   -0.458
2014-06-15 09:05:06.530  -21.241866    55.716447   -0.563
2014-06-15 09:08:13.593  -21.241429    55.714465   -0.404
2014-06-15 09:11:13.218  -21.241390    55.714465   -0.382
2014-06-15 09:13:35.779  -21.241838    55.716313   -0.565
2014-06-15 09:14:05.804  -21.241309    55.714343   -0.379
2014-06-15 09:14:19.131  -21.241892    55.716451   -0.560
2014-06-15 09:16:56.356  -21.241317    55.714400   -0.450
2014-06-15 09:24:04.298  -21.243223    55.709550   -0.036
2014-06-15 09:29:13.996  -21.245046    55.716081   -0.507
2014-06-15 09:31:00.133  -21.245022    55.716309   -0.469
2014-06-15 09:33:32.460  -21.241382    55.714616   -0.281
2014-06-15 09:34:00.375  -21.239553    55.713973   -0.376
2014-06-15 09:34:30.332  -21.243886    55.717342   -0.341
2014-06-15 09:39:29.818  -21.239964    55.714506   -0.274
2014-06-15 09:46:16.607  -21.244511    55.717623   -0.335
2014-06-15 09:49:50.230  -21.245060    55.715035   -0.316
2014-06-15 09:56:25.542  -21.240220    55.713114   -0.546
2014-06-15 09:57:21.948  -21.241298    55.714473   -0.371
2014-06-15 10:01:22.268  -21.244958    55.715922   -0.474
2014-06-15 10:01:42.120  -21.244021    55.717037   -0.358
2014-06-15 10:22:39.198  -21.244891    55.716195   -0.521
2014-06-15 10:24:53.301  -21.245103    55.716085   -0.379
2014-06-15 10:28:05.499  -21.241386    55.714917   -0.359
2014-06-15 10:28:45.290  -21.244967    55.716313   -0.448
2014-06-15 10:32:39.894  -21.245516    55.711548   -0.016
2014-06-15 10:34:36.525  -21.245174    55.711812   -0.136
2014-06-15 10:46:21.464  -21.244956    55.714510   -0.304
2014-06-15 11:25:29.076  -21.241355    55.714705   -0.247
2014-06-15 11:28:04.235  -21.245109    55.711572   -0.089
2014-06-15 11:33:30.834  -21.241443    55.714608   -0.413
2014-06-15 11:38:21.612  -21.245258    55.712878   -0.197
2014-06-15 11:43:36.860  -21.239543    55.713989   -0.393
2014-06-15 12:02:18.893  -21.245524    55.711410    0.063
2014-06-15 12:19:09.875  -21.239402    55.713436   -0.476
2014-06-15 12:55:11.284  -21.240570    55.711548   -0.230
2014-06-15 13:01:43.686  -21.245679    55.714368   -0.249
2014-06-15 13:02:34.625  -21.241288    55.714718   -0.203
2014-06-15 13:08:52.500  -21.244556    55.717367   -0.291
2014-06-15 13:16:33.783  -21.244627    55.717391   -0.298
2014-06-15 13:17:02.637  -21.244008    55.717159   -0.364
2014-06-15 13:19:05.535  -21.244309    55.717232   -0.341
2014-06-15 13:28:21.081  -21.245221    55.714880   -0.364
2014-06-15 13:31:26.035  -21.242027    55.714136   -0.441
2014-06-15 13:34:58.549  -21.245231    55.716064   -0.386
2014-06-15 13:35:47.686  -21.244928    55.712044   -0.125
2014-06-15 13:36:39.544  -21.244834    55.711613   -0.093
2014-06-15 13:36:48.355  -21.242196    55.711389   -0.079
2014-06-15 13:37:09.629  -21.240377    55.713106   -0.446
2014-06-15 13:37:35.294  -21.244729    55.711597   -0.140
2014-06-15 13:37:38.788  -21.240922    55.713354   -0.221
2014-06-15 13:37:59.512  -21.241046    55.713395   -0.285
2014-06-15 13:38:15.829  -21.244873    55.711853   -0.100
2014-06-15 13:40:03.745  -21.240678    55.711475   -0.229
2014-06-15 13:40:35.267  -21.241994    55.716366   -0.579
2014-06-15 13:40:41.207  -21.242173    55.711365   -0.064
2014-06-15 13:42:15.154  -21.245056    55.715938   -0.474
2014-06-15 13:52:17.126  -21.245034    55.716044   -0.351
2014-06-15 13:52:31.434  -21.244641    55.715007   -0.287
2014-06-15 13:56:20.633  -21.245146    55.716052   -0.404
2014-06-15 14:00:38.265  -21.241842    55.717265   -0.408
2014-06-15 14:09:49.955  -21.245160    55.717802   -0.065
2014-06-15 14:32:25.443  -21.244930    55.711971   -0.130
2014-06-15 14:33:13.772  -21.244883    55.711918   -0.093
2014-06-15 14:40:16.633  -21.241292    55.714701   -0.224
2014-06-15 14:57:31.772  -21.241840    55.716366   -0.529
2014-06-15 15:02:39.781  -21.244853    55.711727   -0.116
2014-06-15 15:21:58.795  -21.244407    55.717277   -0.313
2014-06-15 15:22:08.078  -21.244336    55.717159   -0.425
2014-06-15 15:34:03.002  -21.245211    55.716036   -0.380
2014-06-15 15:35:02.967  -21.240249    55.713167   -0.396
2014-06-15 15:44:21.991  -21.244755    55.711727   -0.135
2014-06-15 15:44:35.391  -21.240385    55.713188   -0.472
2014-06-15 15:53:39.534  -21.241036    55.714201   -0.546
2014-06-15 16:00:15.593  -21.244942    55.716056   -0.456
2014-06-15 16:01:42.111  -21.240814    55.713916   -0.502
2014-06-15 16:07:15.914  -21.244849    55.714909   -0.317
2014-06-15 16:09:00.327  -21.245400    55.712174   -0.205
2014-06-15 16:15:03.585  -21.245813    55.711108    0.097
2014-06-15 16:19:41.588  -21.241221    55.714242   -0.413
2014-06-15 16:19:49.298  -21.241235    55.714282   -0.497
2014-06-15 16:20:54.030  -21.244399    55.711112   -0.184
2014-06-15 16:22:41.427  -21.245380    55.712081   -0.212
2014-06-15 16:28:30.374  -21.245620    55.716203   -0.188
2014-06-15 16:34:59.668  -21.245190    55.716089   -0.379
2014-06-15 16:38:01.868  -21.241178    55.714001   -0.577
2014-06-15 16:47:22.439  -21.241321    55.711662   -0.130
2014-06-15 16:52:25.157  -21.245288    55.712488   -0.396
2014-06-15 16:54:27.171  -21.241868    55.714274   -0.505
2014-06-15 16:55:25.574  -21.240407    55.712948   -0.489
2014-06-15 16:56:13.151  -21.244889    55.713664   -0.198
2014-06-15 17:01:11.873  -21.240092    55.712305   -0.224
2014-06-15 17:03:16.932  -21.244767    55.712020   -0.218
2014-06-15 17:03:49.855  -21.245072    55.715877   -0.450
2014-06-15 17:05:15.944  -21.245076    55.716117   -0.588
2014-06-15 17:05:28.450  -21.245030    55.716382   -0.558
2014-06-15 17:06:31.715  -21.245253    55.715934   -0.371
2014-06-15 17:07:01.596  -21.245101    55.716056   -0.387
2014-06-15 17:09:22.003  -21.241368    55.716463   -0.346
2014-06-15 17:13:53.982  -21.245129    55.715133   -0.375
2014-06-15 17:25:32.466  -21.241811    55.713627   -0.346
2014-06-15 17:33:19.216  -21.245278    55.711784   -0.175
2014-06-15 17:37:05.385  -21.239874    55.714164   -0.440
2014-06-15 17:38:42.295  -21.245152    55.714665   -0.248
2014-06-15 17:39:05.718  -21.244906    55.716720   -0.341
2014-06-15 17:50:22.312  -21.244857    55.713139   -0.354
2014-06-15 17:55:15.113  -21.245081    55.714705   -0.197
2014-06-15 18:21:32.244  -21.245140    55.711768   -0.120
2014-06-15 18:27:18.865  -21.245113    55.715470   -0.355
2014-06-15 19:09:29.605  -21.244995    55.711698   -0.141
2014-06-15 19:14:27.149  -21.241471    55.714661   -0.438
2014-06-15 19:25:27.927  -21.244859    55.711906   -0.107
2014-06-15 19:27:46.739  -21.244926    55.716707   -0.317
2014-06-15 19:29:34.266  -21.241770    55.716366   -0.509
2014-06-15 19:31:34.140  -21.240106    55.712301   -0.180
2014-06-15 19:41:10.377  -21.243715    55.713464    0.405
2014-06-15 20:00:45.484  -21.245036    55.716532   -0.319
2014-06-15 20:01:24.148  -21.241046    55.713306   -0.227
2014-06-15 20:01:59.793  -21.244956    55.716923   -0.324
2014-06-15 20:05:37.065  -21.242877    55.709277   -0.100
2014-06-15 20:10:32.828  -21.243302    55.710819   -0.229
2014-06-15 20:17:03.413  -21.245264    55.714844   -0.208
2014-06-15 20:17:16.779  -21.240810    55.717293   -0.334
2014-06-15 20:21:16.607  -21.244895    55.711825   -0.115
2014-06-15 20:39:02.018  -21.245054    55.712826   -0.281
2014-06-15 20:47:37.483  -21.244904    55.711971   -0.133
2014-06-15 20:49:43.191  -21.241475    55.716386   -0.344
2014-06-15 21:01:47.854  -21.245876    55.711157    0.104
2014-06-15 21:10:41.950  -21.245955    55.711149    0.085
2014-06-15 21:26:46.058  -21.241064    55.713953   -0.346
2014-06-15 21:43:23.436  -21.241484    55.716337   -0.345
2014-06-15 21:44:39.819  -21.240393    55.712508   -0.293
2014-06-15 21:48:51.327  -21.241349    55.716292   -0.360
2014-06-15 21:58:36.520  -21.241909    55.713611   -0.352
2014-06-15 22:04:53.592  -21.245351    55.714075   -0.166
2014-06-15 22:06:20.039  -21.244928    55.711511   -0.234
2014-06-15 22:09:47.197  -21.244981    55.713363   -0.309
2014-06-15 22:15:05.238  -21.245241    55.716150   -0.433
2014-06-15 22:16:38.715  -21.245327    55.716711   -0.128
2014-06-15 22:22:05.270  -21.245133    55.714714   -0.379
2014-06-15 22:27:56.818  -21.240310    55.713184   -0.495
2014-06-15 22:32:53.061  -21.241060    55.713310   -0.169
2014-06-15 22:38:58.555  -21.245068    55.712809   -0.374
2014-06-15 22:46:09.422  -21.244893    55.711646   -0.129
2014-06-15 22:52:49.804  -21.246566    55.717729    0.218
2014-06-15 22:55:10.174  -21.245170    55.714827   -0.372
2014-06-15 23:05:43.293  -21.245026    55.715019   -0.332
2014-06-15 23:18:05.708  -21.245345    55.714779   -0.535
2014-06-15 23:22:22.196  -21.245009    55.716492   -0.425
2014-06-15 23:24:59.049  -21.245490    55.717660   -0.082
2014-06-15 23:29:59.731  -21.245044    55.711507   -0.148
2014-06-15 23:33:39.668  -21.244661    55.711589   -0.144
2014-06-15 23:39:32.168  -21.244899    55.712297   -0.276
2014-06-15 23:46:42.683  -21.243628    55.716724   -0.715
2014-06-15 23:46:42.784  -21.239817    55.715275   -0.520
2014-06-15 23:51:17.838  -21.241272    55.714437   -0.381
2014-06-15 23:51:52.408  -21.241058    55.713570   -0.109
2014-06-15 23:58:01.980  -21.241018    55.713147   -0.258
2014-06-16 00:12:32.386  -21.245162    55.712919   -0.177
2014-06-16 00:13:26.346  -21.245652    55.713228    0.001
2014-06-16 00:18:34.405  -21.244383    55.714941   -0.338
2014-06-16 00:19:31.269  -21.244893    55.711731   -0.131
2014-06-16 00:22:02.021  -21.245056    55.715999   -0.432
2014-06-16 00:23:06.512  -21.241606    55.711800   -0.252
2014-06-16 00:23:39.323  -21.241720    55.711926   -0.238
2014-06-16 00:29:42.319  -21.245148    55.715816   -0.424
2014-06-16 00:31:26.010  -21.243882    55.715312   -0.391
2014-06-16 00:33:50.503  -21.244505    55.710478   -0.211
2014-06-16 00:37:20.872  -21.243284    55.709660   -0.028
2014-06-16 00:48:11.418  -21.241691    55.712073   -0.058
2014-06-16 00:57:12.002  -21.244991    55.715979   -0.528
2014-06-16 01:17:04.397  -21.245272    55.714787   -0.345
2014-06-16 01:33:27.585  -21.245172    55.715910   -0.362
2014-06-16 01:50:53.585  -21.241427    55.714848   -0.214
2014-06-16 01:52:51.092  -21.244834    55.714152   -0.400
2014-06-16 01:56:17.997  -21.245129    55.716081   -0.422
2014-06-16 01:59:45.733  -21.245194    55.715942   -0.389
2014-06-16 02:01:10.336  -21.241559    55.715141   -0.257
2014-06-16 02:02:31.328  -21.241473    55.716467   -0.308
2014-06-16 02:19:11.462  -21.241884    55.713562   -0.392
2014-06-16 02:21:51.572  -21.244566    55.713761   -0.654
2014-06-16 02:37:18.795  -21.245345    55.714071   -0.193
2014-06-16 02:38:15.777  -21.245117    55.715894   -0.442
2014-06-16 02:43:24.835  -21.240263    55.713212   -0.439
2014-06-16 02:44:45.983  -21.240312    55.713094   -0.420
2014-06-16 02:45:54.971  -21.243337    55.709574   -0.073
2014-06-16 02:46:41.003  -21.240306    55.713013   -0.390
2014-06-16 02:47:12.352  -21.240112    55.713265   -0.377
2014-06-16 02:48:31.471  -21.244958    55.714396   -0.344
2014-06-16 02:48:34.166  -21.245268    55.714103   -0.203
2014-06-16 02:51:11.606  -21.241412    55.714795   -0.347
2014-06-16 02:52:04.288  -21.241374    55.714648   -0.390
2014-06-16 02:58:37.236  -21.240226    55.713232   -0.440
2014-06-16 03:00:47.134  -21.241317    55.714832   -0.329
2014-06-16 03:00:53.565  -21.241427    55.714506   -0.391
2014-06-16 03:03:28.391  -21.239250    55.713436   -0.265
2014-06-16 03:04:40.747  -21.241217    55.714400   -0.441
2014-06-16 03:05:33.197  -21.239506    55.713611   -0.353
2014-06-16 03:06:58.677  -21.240434    55.712960   -0.537
2014-06-16 03:07:30.755  -21.244920    55.716284   -0.471
2014-06-16 03:07:42.689  -21.242000    55.712443   -0.238
2014-06-16 03:11:21.392  -21.241296    55.715072   -0.490
2014-06-16 03:11:47.091  -21.240281    55.713265   -0.411
2014-06-16 03:12:17.699  -21.239528    55.712512   -0.365
2014-06-16 03:13:07.671  -21.241264    55.713855   -0.502
2014-06-16 03:13:16.259  -21.241274    55.714738   -0.198
2014-06-16 03:15:47.145  -21.241199    55.714962   -0.275
2014-06-16 03:15:51.638  -21.241292    55.714726   -0.251
2014-06-16 03:16:18.807  -21.241201    55.714766   -0.210
2014-06-16 03:21:33.414  -21.241327    55.714722   -0.247
2014-06-16 03:28:23.089  -21.241331    55.714482   -0.379
2014-06-16 03:29:44.338  -21.244910    55.716642   -0.355
2014-06-16 03:30:28.119  -21.241298    55.714648   -0.213
2014-06-16 03:30:47.572  -21.243540    55.713863    0.425
2014-06-16 03:40:15.910  -21.241353    55.714612   -0.240
2014-06-16 03:45:57.219  -21.245003    55.711987   -0.003
